TransactionID,TransactionLineID,Date,DateKey,CustomerID,ProductID,StoreID,PromotionID,QuantitySold,UnitPrice,DiscountAmount,COGS
10000,1,04/10/2023,20231004,C0199,P026,ST10,PROMO00,2,1.3,0.0,1.9
10000,2,2023-10-04,20231004,C0199,P053,ST10,PROMO00,5,8.17,0.0,26.0
10000,3,2023-10-04,20231004,C0199,P021,ST10,PROMO00,2,1.2,0.0,1.8
10000,4,2023-10-04,20231004,C0199,P010,ST10,PROMO00,7,2.93,0.0,14.7
10000,5,2023-10-04,20231004,C0199,P012,ST10,PROMO00,8,2.5,0.0,13.6
10001,6,21/12/2022,20221221,C0086,P019,ST09,PROMO00,3,4.08,0.0,9.3
10001,7,2022-12-21,20221221,C0086,P056,ST09,PROMO00,6,7.6,0.0,28.8
10001,8,2022-12-21,20221221,C0086,P025,ST09,PROMO00,8,3.9,0.0,22.4
10001,9,2022-12-21,20221221,C0086,P029,ST09,PROMO00,8,1.7,0.0,10.4
10002,10,2023-03-28,20230328,C0017,P015,ST05,PROMO00,5,3.66,0.0,14.0
10002,11,2023-03-28,20230328,C0017,P050,ST05,PROMO00,8,2.88,0.0,16.0
10002,12,28/03/2023,20230328,C0017,P050,ST05,PROMO00,6,2.88,0.0,12.0
10003,13,22-06-2024,20240622,C0112,P048,ST09,PROMO00,4,1.76,0.0,5.2
10004,14,15/12/2023,20231215,C0225,P050,ST02,PROMO00,4,2.65,0.0,8.0
10005,15,26/05/2024,20240526,C0316,P051,ST03,PROMO00,4,1.46,0.0,3.8
10005,16,2024-05-26,20240526,C0316,P035,ST03,PROMO00,5,12.4,0.0,42.5
10006,17,23-08-2023,20230823,C0294,P049,ST05,PROMO13,7,2.36,4.96,10.5
10006,18,23/08/2023,20230823,C0294,P009,ST05,PROMO13,3,2.67,2.4,6.0
10007,19,2024-03-15,20240315,C0073,P041,ST08,PROMO00,5,1.25,0.0,4.25
10007,20,15/03/2024,20240315,C0073,P051,ST08,PROMO00,2,1.32,0.0,1.9
10007,21,2024-03-15,20240315,C0073,P057,ST08,PROMO00,6,4.09,0.0,17.4
10007,22,2024-03-15,20240315,C0073,P056,ST08,PROMO00,2,7.23,0.0,9.6
10007,23,2024-03-15,20240315,C0073,P023,ST08,PROMO00,2,1.22,0.0,1.6
10008,24,2023-03-10,20230310,C0138,P054,ST08,PROMO00,5,1.92,0.0,7.0
10008,25,10/03/2023,20230310,C0138,P032,ST08,PROMO00,6,9.07,0.0,34.8
10008,26,10-03-2023,20230310,C0138,P041,ST08,PROMO00,8,1.07,0.0,6.8
10009,27,2024-07-23,20240723,C0491,P013,ST01,PROMO00,3,2.81,0.0,5.4
10009,28,2024-07-23,20240723,C0491,P057,ST01,PROMO00,5,3.72,0.0,14.5
10009,29,2024-07-23,20240723,C0491,P043,ST01,PROMO00,3,0.89,0.0,2.1
10009,30,2024-07-23,20240723,C0491,P049,ST01,PROMO00,4,2.1,0.0,6.0
10010,31,2023-03-14,20230314,C0040,P038,ST08,PROMO00,4,17.9,0.0,50.0
10010,32,2023-03-14,20230314,C0040,P022,ST08,PROMO00,2,2.55,0.0,3.2
10011,33,2022-05-26,20220526,C0197,P047,ST04,PROMO00,2,2.06,0.0,3.2
10012,34,2024-02-23,20240223,C0329,P010,ST03,PROMO00,2,3.01,0.0,4.2
10012,35,2024-02-23,20240223,C0329,P029,ST03,PROMO00,6,1.95,0.0,7.8
10012,36,2024-02-23,20240223,C0329,P027,ST03,PROMO00,8,3.88,0.0,20.0
10012,37,2024-02-23,20240223,C0329,P049,ST03,PROMO00,2,2.18,0.0,3.0
10012,38,2024-02-23,20240223,C0329,P021,ST03,PROMO00,3,1.2,0.0,2.7
10012,39,2024-02-23,20240223,C0329,P039,ST03,PROMO00,5,8.53,0.0,28.0
10013,40,2023-09-10,20230910,C0266,P048,ST04,PROMO00,7,1.76,0.0,9.1
10013,41,2023-09-10,20230910,C0266,P016,ST04,PROMO00,8,3.05,0.0,17.6
10014,42,26/05/2022,20220526,C0456,P024,ST09,PROMO00,6,1.56,0.0,7.2
10015,43,19/01/2024,20240119,C0350,P049,ST09,PROMO00,8,2.38,0.0,12.0
10015,44,2024-01-19,20240119,C0350,P005,ST09,PROMO00,1,5.5,0.0,4.1
10016,45,2024-03-26,20240326,C0147,P046,ST09,PROMO00,7,7.69,0.0,38.5
10016,46,2024-03-26,20240326,C0147,P035,ST09,PROMO00,3,11.45,0.0,25.5
10016,47,2024-03-26,20240326,C0147,P014,ST09,PROMO00,3,3.74,0.0,7.8
10016,48,2024-03-26,20240326,C0147,P054,ST09,PROMO00,2,1.9,0.0,2.8
10016,49,26-03-2024,20240326,C0147,P016,ST09,PROMO00,1,2.94,0.0,2.2
10016,50,26/03/2024,20240326,C0147,P040,ST09,PROMO00,1,10.59,0.0,7.8
10017,51,02-09-2022,20220902,C0363,P045,ST01,PROMO00,1,2.88,0.0,2.2
10017,52,2022-09-02,20220902,C0363,P051,ST01,PROMO00,5,1.24,0.0,4.75
10018,53,2023-07-05,20230705,C0454,P052,ST12,PROMO20,7,1.08,2.65,5.6
10018,54,2023-07-05,20230705,C0454,P037,ST12,PROMO20,2,7.12,4.98,10.0
10018,55,2023-07-05,20230705,C0454,P055,ST12,PROMO20,3,1.52,1.6,3.3
10019,56,2022-08-25,20220825,C0380,P001,ST04,PROMO00,1,1.86,0.0,1.2
10019,57,2022-08-25,20220825,C0380,P024,ST04,PROMO00,7,1.89,0.0,8.4
10019,58,2022-08-25,20220825,C0380,P003,ST04,PROMO00,7,2.39,0.0,12.6
10019,59,2022-08-25,20220825,C0380,P021,ST04,PROMO00,5,1.39,0.0,4.5
10019,60,25/08/2022,20220825,C0380,P044,ST04,PROMO00,1,1.18,0.0,0.9
10020,61,2024-04-01,20240401,C0450,P050,ST02,PROMO00,5,2.73,0.0,10.0
10020,62,2024-04-01,20240401,C0450,P013,ST02,PROMO00,5,2.61,0.0,9.0
10020,63,2024-04-01,20240401,C0450,P030,ST02,PROMO00,6,2.19,0.0,9.0
10021,64,2023-02-05,20230205,C0462,P010,ST12,PROMO00,1,3.31,0.0,2.1
10021,65,2023-02-05,20230205,C0462,P041,ST12,PROMO00,1,1.35,0.0,0.85
